From,To ,Capacity,CU (%)
2811653,1230599,2,0.075930144
2798875,2798889,3,0.113895216
2800993,2803924,14,0.53151101
2814311,2811439,2,0.075930144
2811551,1230599,12,0.455580866
2798931,1230599,2,0.075930144
3167718,3455555,2,0.075930144
2794563,2803659,6,0.227790433
2866880,2811809,3,0.113895216
2805071,2805173,3,0.113895216
2803872,2800976,2,0.075930144
3172091,2811558,2,0.075930144
3086100,1230599,2,0.075930144
2811794,1230599,7,0.265755505
3283350,2821186,3,0.113895216
2814315,2830490,3,0.113895216
2811429,2811809,2,0.075930144
2798895,2805173,2,0.075930144
2783432,1230599,18,0.683371298
2801157,2803847,2,0.075930144
2801645,2805081,3,0.113895216
2804096,3554498,2,0.075930144
2799378,3554498,2,0.075930144
2814205,1230599,3,0.113895216
2814154,2811809,4,0.151860289
2811681,2811809,3,0.113895216
2803466,2801527,3,0.113895216
2801417,2801380,2,0.075930144
2814279,2854016,3,0.113895216
2813966,2811794,2,0.075930144
3513107,2821186,11,0.417615793
2811536,2830490,3,0.113895216
2801151,3554498,3,0.113895216
2811612,1230599,3,0.113895216
2801162,2805173,3,0.113895216
2814308,2814164,3,0.113895216
2811749,2830490,3,0.113895216
2803630,2805173,3,0.113895216
2807795,2817728,3,0.113895216
2799010,2805173,2,0.075930144
2806393,1230599,3,0.113895216
2811575,2811809,3,0.113895216
